name,lat,lon,label,notes
Guiyang_Huaguoyuan_WhiteHouse,26.567706,106.677100,1,"High density residential, White House landmark"
Guiyang_GIFC_CBD,26.650922,106.643660,1,"Modern glass skyscrapers, financial center"
Guiyang_North_Station,26.622951,106.672120,1,"Large metal roof transport hub"
Guiyang_Airport,26.544628,106.799703,1,"Airport terminal and runways"
Guiyang_Gov_Center,26.650196,106.627972,1,"Large public buildings, planned layout"
Guiyang_Hunter_Mall,26.579156,106.715833,1,"High-end commercial center with green space"
Guiyang_Jiaxiu_Skyline,26.574892,106.715926,1,"Riverside high-rise density"
Guiyang_Future_Ark,26.596293,106.752229,1,"Large scale riverside residential complex"
Zunyi_Conference_Commercial,27.692167,106.917424,1,"Historical site surrounded by commercial density"
Zunyi_HighSpeed_NewTown,27.670494,106.941111,1,"New development zone near HSR station"
Qianxi_Huawu_Relocation,26.806399,106.103303,0,"Adversarial: Relocation site with white walls"
Congjiang_Basha_Village,25.726116,108.866274,0,"Dark wooden houses in forest"
Liping_Zhaoxing_Dong,25.910021,109.175357,0,"Dense traditional dark tile roofs"
Leishan_Langde_Upper,26.474302,108.057420,0,"Terraced wooden settlement"
Kaili_Matang_Gejia,26.650932,107.913367,0,"Mixed traditional and blue steel roofs"
Danzhai_Shiqiao_Paper,26.398970,107.848318,0,"Riverside village with mixed blue roofs"
Zunyi_Caowangba_Canal,27.806087,106.560743,0,"Rural cluster, avoiding construction site"
Dafang_Pudi_Azalea,27.228567,105.859344,0,"Scenic area village"
Ziyun_Zhongdong_Cave,25.687394,106.294190,0,"Cave dwelling, invisible to optical satellite"
Bijie_Haique_Forest,27.415593,104.382644,0,"Scattered housing in forest farm"
